Madang	MAG	AYMD	-5.207083	145.7887
Mount Hagen	HGU	AYMH	-5.826789	144.295861
Nadzab	LAE	AYNZ	-6.569828	146.726242
Port Moresby Jacksons Intl	POM	AYPY	-9.443383	147.22005
Wewak Intl	WWK	AYWK	-3.583828	143.669186
Narsarsuaq	UAK	BGBW	61.160517	-45.425978
Nuuk	GOH	BGGH	64.190922	-51.678064
Sondre Stromfjord	SFJ	BGSF	67.016969	-50.689325
Thule Air Base	THU	BGTL	76.531203	-68.703161
Akureyri	AEY	BIAR	65.659994	-18.072703
Egilsstadir	EGS	BIEG	65.283333	-14.401389
Hornafjordur	HFN	BIHN	64.295556	-15.227222
Husavik	HZK	BIHU	65.952328	-17.425978
Isafjordur	IFJ	BIIS	66.058056	-23.135278
Keflavik International Airport	KEF	BIKF	63.985	-22.605556
Patreksfjordur	PFJ	BIPA	65.555833	-23.965
Reykjavik	RKV	BIRK	64.13	-21.940556
Siglufjordur	SIJ	BISI	66.133333	-18.916667
Vestmannaeyjar	VEY	BIVM	63.424303	-20.278875
Sault Ste Marie	YAM	CYAM	46.485001	-84.509445
Winnipeg St Andrews	YAV	CYAV	50.056389	-97.0325
Shearwater	YAW	CYAW	44.639721	-63.499444
St Anthony	YAY	CYAY	51.391944	-56.083056
Tofino	YAZ	CYAZ	49.082222	-125.7725
Kugaaruk	YBB	CYBB	68.534444	-89.808056
Baie Comeau	YBC	CYBC	49.1325	-68.204444
Bagotville	YBG	CYBG	48.330555	-70.996391
Baker Lake	YBK	CYBK	64.298889	-96.077778
Campbell River	YBL	CYBL	49.950832	-125.270833
Brandon Muni	YBR	CYBR	49.91	-99.951944
Cambridge Bay	YCB	CYCB	69.108055	-105.138333
Nanaimo	YCD	CYCD	49.052333	-123.870167
Castlegar	YCG	CYCG	49.296389	-117.6325
Miramichi	YCH	CYCH	47.007778	-65.449167
Charlo	YCL	CYCL	47.990833	-66.330278
Kugluktuk	YCO	CYCO	67.816667	-115.143889
Coronation	YCT	CYCT	52.075001	-111.445278
Chilliwack	YCW	CYCW	49.152779	-121.93889
Clyde River	YCY	CYCY	70.486111	-68.516667
Fairmont Hot Springs	YZS	CYCZ	64.193333	-83.359444
Dawson City	YDA	CYDA	64.043056	-139.127778
Burwash	YDB	CYDB	61.371111	-139.040556
Princeton	YDC	CYDC	49.468056	-120.511389
Deer Lake	YDF	CYDF	49.210833	-57.391388
Dease Lake	YDL	CYDL	58.422222	-130.032222
Dauphin Barker	YDN	CYDN	51.100834	-100.0525
Dawson Creek	YDQ	CYDQ	55.742333	-120.183
Edmonton Intl	YEG	CYEG	53.309723	-113.579722
Arviat	YEK	CYEK	61.094166	-94.070833
Estevan	YEN	CYEN	49.210278	-102.965833
Edson	YET	CYET	53.578888	-116.465
Eureka	YEU	CYEU	79.994722	-85.814167
Inuvik Mike Zubko	YEV	CYEV	68.304167	-133.482778
Iqaluit	YFB	CYFB	63.75639	-68.555832
Fredericton	YFC	CYFC	45.868889	-66.537222
Flin Flon	YFO	CYFO	54.678055	-101.681667
Fort Resolution	YFR	CYFR	61.180832	-113.689722
Fort Simpson	YFS	CYFS	61.760153	-121.236525
Kingston	YGK	CYGK	44.225277	-76.596944
La Grande Riviere	YGL	CYGL	53.625278	-77.704167
Gaspe	YGP	CYGP	48.775278	-64.478611
Geraldton Greenstone Regional	YGQ	CYGQ	49.778332	-86.939445
Iles De La Madeleine	YGR	CYGR	47.424721	-61.778056
Hudson Bay	YHB	CYHB	52.816666	-102.31139
Dryden Rgnl	YHD	CYHD	49.831667	-92.744167
Ulukhaktok Holman	YHI	CYHI	70.762778	-117.806111
Gjoa Haven	YHK	CYHK	68.635556	-95.849722
Hamilton	YHM	CYHM	43.173611	-79.935
St Hubert	YHU	CYHU	45.5175	-73.416944
Hay River	YHY	CYHY	60.839722	-115.782778
Halifax Intl	YHZ	CYHZ	44.880833	-63.50861
Atikokan Muni	YIB	CYIB	48.773888	-91.638611
Pond Inlet	YIO	CYIO	72.683334	-77.966667
St Jean	YJN	CYJN	45.294445	-73.281111
Stephenville	YJT	CYJT	48.544167	-58.549999
Kamloops	YKA	CYKA	50.702222	-120.444444
Waterloo	YKF	CYKF	43.460833	-80.378611
Schefferville	YKL	CYKL	54.805278	-66.805278
Kindersley	YKY	CYKY	51.5175	-109.180833
Buttonville Muni	YKZ	CYKZ	43.862221	-79.37
Chapleau	YLD	CYLD	47.82	-83.346667
Meadow Lake	YLJ	CYLJ	54.125278	-108.522778
Lloydminster	YLL	CYLL	53.309166	-110.0725
Alert	YLT	CYLT	82.517778	-62.280556
Kelowna	YLW	CYLW	49.956112	-119.377778
Mayo	YMA	CYMA	63.616389	-135.868333
Moose Jaw Air Vice Marshal C M Mcewen	YMJ	CYMJ	50.330278	-105.559167
Fort Mcmurray	YMM	CYMM	56.653333	-111.221944
Moosonee	YMO	CYMO	51.291111	-80.607778
Maniwaki	YMW	CYMW	46.272778	-75.990556
Montreal Intl Mirabel	YMX	CYMX	45.681944	-74.005278
Natashquan	YNA	CYNA	50.19	-61.789167
Gatineau	YND	CYND	45.521694	-75.563589
Matagami	YNM	CYNM	49.761667	-77.802778
Old Crow	YOC	CYOC	67.570556	-139.839167
Cold Lake	YOD	CYOD	54.404999	-110.279444
High Level	YOJ	CYOJ	58.621389	-117.164722
Ottawa Macdonald Cartier Intl	YOW	CYOW	45.3225	-75.669167
Prince Albert Glass Field	YPA	CYPA	53.214167	-105.672778
Peace River	YPE	CYPE	56.226944	-117.447222
Southport	YPG	CYPG	49.903056	-98.273889
Pitt Meadows	YPK	CYPK	49.21611	-122.71
Pickle Lake	YPL	CYPL	51.446388	-90.214167
Port Menier	YPN	CYPN	49.836389	-64.288611
Peterborough	YPQ	CYPQ	44.23	-78.363333
Prince Rupert	YPR	CYPR	54.28611	-130.444722
Fort Chipewyan	YPY	CYPY	58.767223	-111.117222
Muskoka	YQA	CYQA	44.974722	-79.303333
Quebec Jean Lesage Intl	YQB	CYQB	46.791111	-71.393333
Red Deer Regional	YQF	CYQF	52.182222	-113.894444
Windsor	YQG	CYQG	42.275556	-82.955556
Watson Lake	YQH	CYQH	60.116389	-128.8225
Kenora	YQK	CYQK	49.788334	-94.363056
Lethbridge	YQL	CYQL	49.630278	-112.799722
Greater Moncton Intl	YQM	CYQM	46.112221	-64.678611
Comox	YQQ	CYQQ	49.710833	-124.886667
Regina Intl	YQR	CYQR	50.431944	-104.665833
Thunder Bay	YQT	CYQT	48.371944	-89.323889
Grande Prairie	YQU	CYQU	55.179722	-118.885
Yorkton Muni	YQV	CYQV	51.264721	-102.461667
North Battleford	YQW	CYQW	52.769167	-108.24361
Gander Intl	YQX	CYQX	48.936944	-54.568056
Sydney	YQY	CYQY	46.161388	-60.047779
Quesnel	YQZ	CYQZ	53.026112	-122.510278
Resolute Bay	YRB	CYRB	74.716944	-94.969444
Riviere Du Loup	YRI	CYRI	47.764444	-69.584722
Roberval	YRJ	CYRJ	48.52	-72.265556
Rocky Mountain House	YRM	CYRM	52.429722	-114.904167
Rankin Inlet	YRT	CYRT	62.81139	-92.115833
Sudbury	YSB	CYSB	46.625	-80.798889
Sherbrooke	YSC	CYSC	45.438611	-71.691389
Saint John	YSJ	CYSJ	45.316111	-65.890278
Fort Smith	YSM	CYSM	60.020278	-111.961944
Nanisivik	YSR	CYSR	72.982222	-84.613611
Summerside	YSU	CYSU	46.440556	-63.833611
Sachs Harbour	YSY	CYSY	71.993889	-125.2425
Cape Dorset	YTE	CYTE	64.23	-76.526667
Thompson	YTH	CYTH	55.801111	-97.864166
Trenton	YTR	CYTR	44.118889	-77.528056
Timmins	YTS	CYTS	48.569721	-81.376667
City Centre	YTZ	CYTZ	43.627499	-79.396167
Tuktoyaktuk	YUB	CYUB	69.433334	-133.026389
Pierre Elliott Trudeau Intl	YUL	CYUL	45.470556	-73.740833
Repulse Bay	YUT	CYUT	66.521389	-86.224722
Hall Beach	YUX	CYUX	68.776111	-81.243611
Rouyn Noranda	YUY	CYUY	48.206111	-78.835556
La Ronge	YVC	CYVC	55.15139	-105.261944
Vermilion	YVG	CYVG	53.355833	-110.82389
Qikiqtarjuaq	YVM	CYVM	67.545833	-64.031389
Val D Or	YVO	CYVO	48.053333	-77.782778
Kuujjuaq	YVP	CYVP	58.096111	-68.426944
Norman Wells	YVQ	CYVQ	65.281617	-126.798219
Vancouver Intl	YVR	CYVR	49.193889	-123.184444
Buffalo Narrows	YVT	CYVT	55.841944	-108.4175
Wiarton	YVV	CYVV	44.745834	-81.107222
Petawawa	YWA	CYWA	45.952221	-77.319168
Winnipeg Intl	YWG	CYWG	49.910036	-97.239886
Wabush	YWK	CYWK	52.921944	-66.864444
Williams Lake	YWL	CYWL	52.183056	-122.054167
Wrigley	YWY	CYWY	63.209444	-123.436667
Canadian Rockies Intl	YXC	CYXC	49.612222	-115.781944
Edmonton City Centre	YXD	CYXD	53.5725	-113.520556
Saskatoon J G Diefenbaker Intl	YXE	CYXE	52.170834	-106.699722
Medicine Hat	YXH	CYXH	50.01889	-110.720833
Fort St John	YXJ	CYXJ	56.238056	-120.740278
Sioux Lookout	YXL	CYXL	50.113889	-91.905278
Pangnirtung	YXP	CYXP	66.145	-65.713611
Timiskaming Rgnl	YXR	CYXR	47.695	-79.848889
Prince George	YXS	CYXS	53.889444	-122.678889
Terrace	YXT	CYXT	54.468508	-128.576219
London	YXU	CYXU	43.033056	-81.151111
Abbotsford	YXX	CYXX	49.025278	-122.360556
Whitehorse Intl	YXY	CYXY	60.709553	-135.067269
North Bay	YYB	CYYB	46.363611	-79.422778
Calgary Intl	YYC	CYYC	51.113888	-114.020278
Smithers	YYD	CYYD	54.824722	-127.182778
Fort Nelson	YYE	CYYE	58.836389	-122.596944
Penticton	YYF	CYYF	49.463056	-119.602222
Charlottetown	YYG	CYYG	46.290001	-63.121111
Taloyoak	YYH	CYYH	69.546667	-93.576667
Victoria Intl	YYJ	CYYJ	48.646944	-123.425833
Lynn Lake	YYL	CYYL	56.863888	-101.07611
Swift Current	YYN	CYYN	50.291944	-107.690556
Churchill	YYQ	CYYQ	58.739167	-94.065
Goose Bay	YYR	CYYR	53.319168	-60.425833
St Johns Intl	YYT	CYYT	47.61861	-52.751945
Kapuskasing	YYU	CYYU	49.413889	-82.4675
Armstrong	YYW	CYYW	50.290279	-88.909721
Mont Joli	YYY	CYYY	48.608612	-68.208056
Lester B Pearson Intl	YYZ	CYYZ	43.677223	-79.630556
Downsview	YZD	CYZD	43.7425	-79.465556
Gore Bay Manitoulin	YZE	CYZE	45.885277	-82.567778
Yellowknife	YZF	CYZF	62.462778	-114.440278
Slave Lake	YZH	CYZH	55.293056	-114.777222
Sandspit	YZP	CYZP	53.254333	-131.813833
